Time,BGL Level
23.56,4.22
23.51,4.44
23.46,4.72
23.41,4.83
23.36,4.66
23.31,4.38
23.26,4.22
23.21,4.33
23.16,4.72
23.11,4.94
23.06,5.22
23.01,5.27
22.56,5.16
22.51,5.05
22.46,5.16
22.41,5.33
22.36,5.33
22.31,5.33
22.26,5.38
22.21,5.72
22.16,6.16
22.12,6.61
22.06,6.77
22.01,6.88
21.56,6.61
21.51,6.27
21.46,6.77
21.41,6.72
21.36,7.38
21.31,7.99
21.26,8.6
21.21,8.94
21.16,9.66
21.11,10.05
21.06,10.77
21.01,11.49
20.56,12.32
20.51,12.88
20.46,12.82
20.41,12.27
20.36,12.32
20.31,12.21
20.26,11.71
20.21,11.32
20.16,10.71
20.16,10.49
20.06,10.27
20.01,0
19.56,0
19.51,0
19.46,0
19.41,0
19.36,0
19.31,7.44
19.26,7.1
19.21,7.05
19.16,6.66
19.11,6.27
19.06,5.77
19.01,5.44
18.56,5.11
18.51,5.05
18.46,4.77
18.41,4.61
18.36,4.5
18.31,4.27
18.26,4.05
18.21,4.22
18.16,4.16
18.11,4.38
18.06,4.44
18.01,4.33
17.56,4.55
17.51,4.94
17.46,5
17.41,5.61
17.36,6.05
17.31,6.77
17.26,7.49
17.21,8.1
17.16,8.77
17.11,9.44
17.06,9.99
17.01,10.55
16.56,10.6
16.51,10.21
16.46,9.99
16.41,9.21
16.36,8.88
16.31,8.38
16.26,8.33
16.21,8.21
16.16,7.66
16.11,7.55
16.06,7.72
16.01,7.66
15.56,7.49
15.51,7.55
15.46,7.1
15.41,6.83
15.36,6.88
15.31,7.05
15.26,7.05
15.21,6.88
15.16,6.72
15.11,6.61
15.06,6.55
15.01,6.33
14.56,6.05
14.51,5.99
14.46,5.27
14.41,5.05
14.36,5
14.31,4.88
14.26,4.77
14.21,4.83
14.16,4.83
14.11,4.88
14.06,5
14.01,4.94
13.56,4.88
13.51,5
13.46,5.11
13.41,5.11
13.36,5.33
13.31,5.44
13.26,5.88
13.21,6.55
13.16,6.77
13.11,6.55
13.06,6.33
13.01,6.27
12.56,6.33
12.51,6.77
12.46,7.33
12.41,7.49
12.36,7.55
12.31,7.49
12.26,7.55
12.21,7.83
12.16,8.05
12.11,7.83
12.06,7.66
12.01,7.6
11.56,7.38
11.51,7.66
11.46,7.72
11.41,7.72
11.36,7.27
11.31,6.77
11.26,6.22
11.21,5.94
11.16,5.83
11.11,5.77
11.06,5.88
11.01,6.11
10.56,6.33
10.51,6.49
10.46,6.66
10.41,5.99
10.36,5.55
10.31,5.38
10.26,5.27
10.21,6.16
10.16,6.94
10.11,7.22
10.06,7.33
10.01,7.49
9.56,7.44
9.51,7.33
9.46,7.22
9.41,7.44
9.36,8.27
9.31,8.71
9.26,8.94
9.21,9.05
9.16,9.1
9.11,8.94
9.06,8.44
9.01,8.66
8.56,9.38
8.51,9.71
8.46,8.94
8.41,7.83
8.36,7.22
8.31,7.1
8.26,7.27
8.21,7.38
8.16,7.49
8.11,7.72
8.06,7.49
8.01,7.44
7.56,6.94
7.51,6.22
7.46,5.99
7.41,5.99
7.36,5.88
7.31,5.5
7.26,4.98
7.21,4.77
7.16,4.83
7.11,4.94
7.06,4.94
7.01,5
6.56,5.05
6.51,5.05
6.46,5.11
6.41,5.05
6.36,5.11
6.31,5.27
6.26,5.33
6.21,5.44
6.16,5.5
6.11,5.61
6.06,5.77
6.01,5.88
5.56,5.99
5.51,6.11
5.46,6.16
5.41,6.22
5.36,6.27
5.31,6.22
5.26,6.16
5.21,6.11
5.16,6.11
5.11,6.05
5.06,6.05
5.01,6.05
4.56,5.99
4.51,6.05
4.46,6.05
4.41,5.99
4.36,5.83
4.31,5.66
4.26,5.27
4.21,5.11
4.16,5
4.11,4.66
4.06,4.38
4.01,4.16
3.56,3.94
3.51,3.77
3.46,3.66
3.41,3.61
3.36,3.5
3.31,3.44
3.26,3.33
3.21,3.27
3.16,3.11
3.11,3
3.06,3
3.01,2.94
2.56,2.89
2.51,2.89
2.46,2.83
2.41,2.83
2.36,2.83
2.31,2.83
2.26,2.83
2.21,2.94
2.16,3
2.11,3.05
2.06,3.11
2.01,3.11
1.56,3.16
1.51,3.27
1.46,3.39
1.41,3.55
1.36,3.72
1.31,3.89
1.26,4
1.21,4.11
1.16,4.33
1.11,4.44
1.06,4.66
1.01,4.88
0.56,5.11
0.51,5.33
0.46,5.66
0.41,5.99
0.36,6.38
0.31,6.88
0.26,7.22
0.21,7.38
0.16,7.49
0.11,7.6
0.06,7.88
0.01,8.27
